player,ipl_team,country
J Theron,Rajasthan Royals,South Africa
J Botha,Kolkata Knight Riders,South Africa
Bipul Sharma,Sunrisers Hyderabad,India
Azhar Mahmood,Kolkata Knight Riders,Pakistan
JC Buttler,Mumbai Indians,England
AM Rahane,Rising Pune Supergiants,India
F du Plessis,Rising Pune Supergiants,South Africa
KP Pietersen,Rising Pune Supergiants,England
KK Nair,Delhi Capitals,India
SV Samson,Delhi Capitals,India
CR Brathwaite,Delhi Capitals,West Indies
CH Morris,Delhi Capitals,South Africa
Z Khan,Delhi Capitals,India
MP Stoinis,Punjab Kings,Australia
AJ Finch,Gujarat Lions,Australia
BB McCullum,Gujarat Lions,New Zealand
SK Raina,Gujarat Lions,India
KD Karthik,Gujarat Lions,India
RA Jadeja,Gujarat Lions,India
Ishan Kishan,Gujarat Lions,India
DJ Bravo,Gujarat Lions,West Indies
SR Watson,Royal Challengers Bangalore,Australia
KM Jadhav,Royal Challengers Bangalore,India
DJ Hooda,Sunrisers Hyderabad,India
C Munro,Kolkata Knight Riders,New Zealand
MS Dhoni,Rising Pune Supergiants,India
R Bhatia,Rising Pune Supergiants,India
MM Sharma,Punjab Kings,India
P Sahu,Punjab Kings,India
KH Pandya,Mumbai Indians,India
TG Southee,Mumbai Indians,New Zealand
AD Nath,Gujarat Lions,India
JP Faulkner,Gujarat Lions,Australia
P Kumar,Gujarat Lions,India
DS Kulkarni,Gujarat Lions,India
NLTC Perera,Rising Pune Supergiants,Sri Lanka
IK Pathan,Rising Pune Supergiants,India
R Ashwin,Rising Pune Supergiants,India
MJ Guptill,Mumbai Indians,New Zealand
KJ Abbott,Punjab Kings,South Africa
TM Head,Royal Challengers Bangalore,Australia
STR Binny,Royal Challengers Bangalore,India
KW Richardson,Royal Challengers Bangalore,Australia
DW Steyn,Gujarat Lions,South Africa
Ankit Sharma,Rising Pune Supergiants,India
M Ashwin,Rising Pune Supergiants,India
NS Naik,Punjab Kings,India
AP Tare,Sunrisers Hyderabad,India
DR Smith,Gujarat Lions,West Indies
JA Morkel,Rising Pune Supergiants,South Africa
R Sathish,Kolkata Knight Riders,India
RR Pant,Delhi Capitals,India
SS Tiwary,Rising Pune Supergiants,India
SW Billings,Delhi Capitals,England
JO Holder,Kolkata Knight Riders,West Indies
Sachin Baby,Royal Challengers Bangalore,India
Parvez Rasool,Royal Challengers Bangalore,India
KC Cariappa,Punjab Kings,India
PSP Handscomb,Rising Pune Supergiants,Australia
Swapnil Singh,Punjab Kings,India
J Yadav,Delhi Capitals,India
UT Khawaja,Rising Pune Supergiants,Australia
Yuvraj Singh,Sunrisers Hyderabad,India
GJ Bailey,Rising Pune Supergiants,Australia
HM Amla,Punjab Kings,South Africa
F Behardien,Punjab Kings,South Africa
BB Sran,Sunrisers Hyderabad,India
A Zampa,Rising Pune Supergiants,Australia
N Rana,Mumbai Indians,India
A Nehra,Sunrisers Hyderabad,India
PV Tambe,Gujarat Lions,India
S Kaushik,Gujarat Lions,India
BCJ Cutting,Sunrisers Hyderabad,Australia
ER Dwivedi,Gujarat Lions,India
SB Jakati,Gujarat Lions,India
CJ Jordan,Royal Challengers Bangalore,England
TS Mills,Royal Challengers Bangalore,England
A Choudhary,Royal Challengers Bangalore,India
MA Agarwal,Rising Pune Supergiants,India
BA Stokes,Rising Pune Supergiants,England
JJ Roy,Gujarat Lions,England
MK Tiwary,Rising Pune Supergiants,India
DT Christian,Rising Pune Supergiants,Australia
Vishnu Vinod,Royal Challengers Bangalore,India
P Negi,Royal Challengers Bangalore,India
AP Tare,Delhi Capitals,India
PJ Cummins,Delhi Capitals,Australia
Basil Thampi,Gujarat Lions,India
CR Woakes,Kolkata Knight Riders,England
CJ Anderson,Delhi Capitals,New Zealand
RA Tripathi,Rising Pune Supergiants,India
DL Chahar,Rising Pune Supergiants,India
Imran Tahir,Rising Pune Supergiants,South Africa
V Shankar,Sunrisers Hyderabad,India
Rashid Khan,Sunrisers Hyderabad,Nepal
VR Aaron,Punjab Kings,India
SN Thakur,Rising Pune Supergiants,India
RD Chahar,Rising Pune Supergiants,India
LH Ferguson,Rising Pune Supergiants,New Zealand
C de Grandhomme,Kolkata Knight Riders,New Zealand
EJG Morgan,Punjab Kings,England
EJG Morgan,Punjab Kings,Ireland
JD Unadkat,Rising Pune Supergiants,India
AF Milne,Royal Challengers Bangalore,New Zealand
S Badree,Royal Challengers Bangalore,West Indies
Mohammad Nabi,Sunrisers Hyderabad,India
I Sharma,Punjab Kings,India
AJ Tye,Gujarat Lions,Australia
K Rabada,Delhi Capitals,South Africa
NM Coulter-Nile,Kolkata Knight Riders,Australia
Kuldeep Yadav,Kolkata Knight Riders,India
Washington Sundar,Rising Pune Supergiants,India
KV Sharma,Mumbai Indians,India
DM Bravo,Kolkata Knight Riders,West Indies
AR Bawne,Delhi Capitals,India
SP Jackson,Kolkata Knight Riders,India
MJ Guptill,Punjab Kings,New Zealand
IK Pathan,Gujarat Lions,India
Ankit Soni,Gujarat Lions,India
PJ Sangwan,Gujarat Lions,India
S Kaul,Sunrisers Hyderabad,India
MN Samuels,Delhi Capitals,West Indies
R Tewatia,Punjab Kings,India
MM Patel,Gujarat Lions,India
TA Boult,Kolkata Knight Riders,New Zealand
CJ Jordan,Sunrisers Hyderabad,England
IR Jaggi,Kolkata Knight Riders,India
AS Rajpoot,Kolkata Knight Riders,India
E Lewis,Mumbai Indians,West Indies
Ishan Kishan,Mumbai Indians,India
SR Watson,Chennai Super Kings,Australia
AT Rayudu,Chennai Super Kings,India
KM Jadhav,Chennai Super Kings,India
DL Chahar,Chennai Super Kings,India
Harbhajan Singh,Chennai Super Kings,India
MA Wood,Chennai Super Kings,England
Imran Tahir,Chennai Super Kings,South Africa
C Munro,Delhi Capitals,New Zealand
V Shankar,Delhi Capitals,India
R Tewatia,Delhi Capitals,India
DT Christian,Delhi Capitals,Australia
KL Rahul,Punjab Kings,India
MA Agarwal,Punjab Kings,India
KK Nair,Punjab Kings,India
BB McCullum,Royal Challengers Bangalore,New Zealand
Q de Kock,Royal Challengers Bangalore,South Africa
CR Woakes,Royal Challengers Bangalore,England
N Rana,Kolkata Knight Riders,India
KD Karthik,Kolkata Knight Riders,India
RK Singh,Kolkata Knight Riders,India
DJM Short,Rajasthan Royals,Australia
BA Stokes,Rajasthan Royals,England
RA Tripathi,Rajasthan Royals,India
JC Buttler,Rajasthan Royals,England
K Gowtham,Rajasthan Royals,India
S Gopal,Rajasthan Royals,India
JD Unadkat,Rajasthan Royals,India
B Laughlin,Rajasthan Royals,Australia
WP Saha,Sunrisers Hyderabad,India
TK Curran,Kolkata Knight Riders,England
SW Billings,Chennai Super Kings,England
BCJ Cutting,Mumbai Indians,Australia
PJ Sangwan,Mumbai Indians,India
M Markande,Mumbai Indians,India
MK Pandey,Sunrisers Hyderabad,India
Shakib Al Hasan,Sunrisers Hyderabad,Bangladesh
YK Pathan,Sunrisers Hyderabad,India
Sandeep Sharma,Sunrisers Hyderabad,India
B Stanlake,Sunrisers Hyderabad,Australia
AJ Finch,Punjab Kings,Australia
R Ashwin,Punjab Kings,India
AJ Tye,Punjab Kings,Australia
Mujeeb Ur Rahman,Punjab Kings,India
Washington Sundar,Royal Challengers Bangalore,India
A Dananjaya,Mumbai Indians,Sri Lanka
JJ Roy,Delhi Capitals,England
Shubman Gill,Kolkata Knight Riders,India
Shivam Mavi,Kolkata Knight Riders,India
MG Johnson,Kolkata Knight Riders,Australia
CH Gayle,Punjab Kings,West Indies
TA Boult,Delhi Capitals,New Zealand
CJ Anderson,Royal Challengers Bangalore,New Zealand
UT Yadav,Royal Challengers Bangalore,India
Mohammed Siraj,Royal Challengers Bangalore,India
H Klaasen,Rajasthan Royals,South Africa
M Vohra,Royal Challengers Bangalore,India
RK Bhui,Sunrisers Hyderabad,India
JC Archer,Rajasthan Royals,England
BB Sran,Punjab Kings,India
PP Shaw,Delhi Capitals,India
LE Plunkett,Delhi Capitals,England
Basil Thampi,Sunrisers Hyderabad,India
Mustafizur Rahman,Mumbai Indians,Bangladesh
C de Grandhomme,Royal Challengers Bangalore,New Zealand
MK Tiwary,Punjab Kings,India
AS Rajpoot,Punjab Kings,India
AD Hales,Sunrisers Hyderabad,England
MK Lomror,Rajasthan Royals,India
TG Southee,Royal Challengers Bangalore,New Zealand
M Ashwin,Royal Challengers Bangalore,India
DR Shorey,Chennai Super Kings,India
MM Ali,Royal Challengers Bangalore,England
AD Nath,Punjab Kings,India
M Prasidh Krishna,Kolkata Knight Riders,India
HV Patel,Delhi Capitals,India
P Chopra,Rajasthan Royals,India
JPR Scantlebury-Searles,Kolkata Knight Riders,India
Abhishek Sharma,Delhi Capitals,India
IS Sodhi,Rajasthan Royals,New Zealand
Anureet Singh,Rajasthan Royals,India
SP Goswami,Sunrisers Hyderabad,India
CR Brathwaite,Sunrisers Hyderabad,West Indies
SN Thakur,Chennai Super Kings,India
SO Hetmyer,Royal Challengers Bangalore,West Indies
S Dube,Royal Challengers Bangalore,India
Navdeep Saini,Royal Challengers Bangalore,India
JM Bairstow,Sunrisers Hyderabad,England
KMA Paul,Delhi Capitals,West Indies
AR Patel,Delhi Capitals,India
Q de Kock,Mumbai Indians,South Africa
Yuvraj Singh,Mumbai Indians,India
Rasikh Salam,Mumbai Indians,India
SN Khan,Punjab Kings,India
N Pooran,Punjab Kings,West Indies
NS Naik,Kolkata Knight Riders,India
GH Vihari,Delhi Capitals,India
P Ray Barman,Royal Challengers Bangalore,India
SM Curran,Punjab Kings,England
GC Viljoen,Punjab Kings,South Africa
M Ashwin,Punjab Kings,India
Mohammed Shami,Punjab Kings,India
Avesh Khan,Delhi Capitals,India
S Lamichhane,Delhi Capitals,Nepal
MP Stoinis,Royal Challengers Bangalore,Australia
RD Chahar,Mumbai Indians,India
AD Nath,Royal Challengers Bangalore,India
HF Gurney,Kolkata Knight Riders,England
SD Lad,Mumbai Indians,India
AS Joseph,Mumbai Indians,West Indies
R Parag,Rajasthan Royals,India
MJ Santner,Chennai Super Kings,New Zealand
JL Denly,Kolkata Knight Riders,England
CR Brathwaite,Kolkata Knight Riders,West Indies
LS Livingstone,Rajasthan Royals,England
Abhishek Sharma,Sunrisers Hyderabad,India
KK Ahmed,Sunrisers Hyderabad,India
AJ Turner,Rajasthan Royals,Australia
Harpreet Brar,Punjab Kings,India
SE Rutherford,Delhi Capitals,West Indies
Y Prithvi Raj,Kolkata Knight Riders,India
KC Cariappa,Kolkata Knight Riders,India
H Klaasen,Royal Challengers Bangalore,South Africa
Gurkeerat Singh,Royal Challengers Bangalore,India
BB Sran,Mumbai Indians,India
P Simran Singh,Punjab Kings,India
J Suchith,Delhi Capitals,India
MJ Guptill,Sunrisers Hyderabad,New Zealand
VR Aaron,Rajasthan Royals,India
I Sharma,Delhi Capitals,India
JL Pattinson,Mumbai Indians,Australia
TA Boult,Mumbai Indians,New Zealand
SM Curran,Chennai Super Kings,England
SO Hetmyer,Delhi Capitals,West Indies
MP Stoinis,Delhi Capitals,Australia
R Ashwin,Delhi Capitals,India
A Nortje,Delhi Capitals,South Africa
K Gowtham,Punjab Kings,India
CJ Jordan,Punjab Kings,England
D Padikkal,Royal Challengers Bangalore,India
AJ Finch,Royal Challengers Bangalore,Australia
JR Philippe,Royal Challengers Bangalore,Australia
PK Garg,Sunrisers Hyderabad,India
MR Marsh,Sunrisers Hyderabad,Australia
T Natarajan,Sunrisers Hyderabad,India
YBK Jaiswal,Rajasthan Royals,India
RV Uthappa,Rajasthan Royals,India
TK Curran,Rajasthan Royals,England
RD Gaikwad,Chennai Super Kings,India
Abdul Samad,Sunrisers Hyderabad,Pakistan
KL Nagarkoti,Kolkata Knight Riders,India
AS Rajpoot,Rajasthan Royals,India
JDS Neesham,Punjab Kings,New Zealand
Ravi Bishnoi,Punjab Kings,India
RA Tripathi,Kolkata Knight Riders,India
I Udana,Royal Challengers Bangalore,Sri Lanka
CV Varun,Kolkata Knight Riders,India
SS Cottrell,Punjab Kings,West Indies
Arshdeep Singh,Punjab Kings,India
AJ Tye,Rajasthan Royals,Australia
Kartik Tyagi,Rajasthan Royals,India
N Jagadeesan,Chennai Super Kings,India
AM Rahane,Delhi Capitals,India
AT Carey,Delhi Capitals,Australia
T Banton,Kolkata Knight Riders,England
S Nadeem,Sunrisers Hyderabad,India
CH Morris,Royal Challengers Bangalore,South Africa
DJ Hooda,Punjab Kings,India
LH Ferguson,Kolkata Knight Riders,New Zealand
TU Deshpande,Delhi Capitals,India
P Dubey,Delhi Capitals,India
Shahbaz Ahmed,Royal Challengers Bangalore,India
DR Sams,Delhi Capitals,Australia
CA Lynn,Mumbai Indians,Australia
M Jansen,Mumbai Indians,South Africa
RM Patidar,Royal Challengers Bangalore,India
GJ Maxwell,Royal Challengers Bangalore,Australia
KA Jamieson,Royal Challengers Bangalore,New Zealand
MM Ali,Chennai Super Kings,England
M Shahrukh Khan,Punjab Kings,India
JA Richardson,Punjab Kings,Australia
M Vohra,Rajasthan Royals,India
S Dube,Rajasthan Royals,India
Harbhajan Singh,Kolkata Knight Riders,India
Lalit Yadav,Delhi Capitals,India
TK Curran,Delhi Capitals,England
CR Woakes,Delhi Capitals,England
DA Miller,Rajasthan Royals,South Africa
Virat Singh,Sunrisers Hyderabad,India
Mujeeb Ur Rahman,Sunrisers Hyderabad,India
SPD Smith,Delhi Capitals,Australia
Mustafizur Rahman,Rajasthan Royals,Bangladesh
J Yadav,Mumbai Indians,India
MC Henriques,Punjab Kings,Australia
FA Allen,Punjab Kings,West Indies
C Sakariya,Rajasthan Royals,India
KM Jadhav,Sunrisers Hyderabad,India
J Suchith,Sunrisers Hyderabad,India
DR Sams,Royal Challengers Bangalore,Australia
JDS Neesham,Mumbai Indians,New Zealand
DJ Malan,Punjab Kings,England
Anmolpreet Singh,Mumbai Indians,India
AF Milne,Mumbai Indians,New Zealand
KS Bharat,Royal Challengers Bangalore,India
PWH de Silva,Royal Challengers Bangalore,Sri Lanka
VR Iyer,Kolkata Knight Riders,India
E Lewis,Rajasthan Royals,West Indies
AK Markram,Punjab Kings,South Africa
TH David,Royal Challengers Bangalore,Australia
T Shamsi,Rajasthan Royals,South Africa
NT Ellis,Punjab Kings,Australia
JJ Roy,Sunrisers Hyderabad,England
TG Southee,Kolkata Knight Riders,New Zealand
TL Seifert,Kolkata Knight Riders,New Zealand
GD Phillips,Rajasthan Royals,New Zealand
GHS Garton,Royal Challengers Bangalore,England
RV Uthappa,Chennai Super Kings,India
RV Patel,Delhi Capitals,India
K Yadav,Rajasthan Royals,India
Anuj Rawat,Rajasthan Royals,India
PP Chawla,Mumbai Indians,India
DP Conway,Chennai Super Kings,New Zealand
S Dube,Chennai Super Kings,India
AM Rahane,Kolkata Knight Riders,India
SS Iyer,Kolkata Knight Riders,India
SW Billings,Kolkata Knight Riders,England
Tilak Varma,Mumbai Indians,India
TH David,Mumbai Indians,Australia
DR Sams,Mumbai Indians,Australia
TL Seifert,Delhi Capitals,New Zealand
Mandeep Singh,Delhi Capitals,India
R Powell,Delhi Capitals,West Indies
SN Thakur,Delhi Capitals,India
F du Plessis,Royal Challengers Bangalore,South Africa
Anuj Rawat,Royal Challengers Bangalore,India
S Dhawan,Punjab Kings,India
PBB Rajapaksa,Punjab Kings,Sri Lanka
LS Livingstone,Punjab Kings,England
RA Bawa,Punjab Kings,India
OF Smith,Punjab Kings,West Indies
KL Rahul,Lucknow Super Giants,India
E Lewis,Lucknow Super Giants,West Indies
Q de Kock,Lucknow Super Giants,South Africa
MK Pandey,Lucknow Super Giants,India
DJ Hooda,Lucknow Super Giants,India
A Badoni,Lucknow Super Giants,India
KH Pandya,Lucknow Super Giants,India
PVD Chameera,Lucknow Super Giants,Sri Lanka
Shubman Gill,Gujarat Titans,India
V Shankar,Gujarat Titans,India
MS Wade,Gujarat Titans,Australia
HH Pandya,Gujarat Titans,India
DA Miller,Gujarat Titans,South Africa
R Tewatia,Gujarat Titans,India
A Manohar,Gujarat Titans,India
D Padikkal,Rajasthan Royals,India
SO Hetmyer,Rajasthan Royals,West Indies
NM Coulter-Nile,Rajasthan Royals,Australia
RA Tripathi,Sunrisers Hyderabad,India
N Pooran,Sunrisers Hyderabad,West Indies
AK Markram,Sunrisers Hyderabad,South Africa
R Shepherd,Sunrisers Hyderabad,West Indies
Washington Sundar,Sunrisers Hyderabad,India
SE Rutherford,Royal Challengers Bangalore,West Indies
DJ Willey,Royal Challengers Bangalore,England
D Pretorius,Chennai Super Kings,South Africa
RD Chahar,Punjab Kings,India
K Rabada,Punjab Kings,South Africa
R Ashwin,Rajasthan Royals,India
Navdeep Saini,Rajasthan Royals,India
TA Boult,Rajasthan Royals,New Zealand
M Ashwin,Mumbai Indians,India
Rashid Khan,Gujarat Titans,Afg
Kuldeep Yadav,Delhi Capitals,India
KK Ahmed,Delhi Capitals,India
Mustafizur Rahman,Delhi Capitals,Bangladesh
JM Sharma,Punjab Kings,India
VG Arora,Punjab Kings,India
CJ Jordan,Chennai Super Kings,England
Mukesh Choudhary,Chennai Super Kings,India
JO Holder,Lucknow Super Giants,West Indies
Umran Malik,Sunrisers Hyderabad,India
D Brevis,Mumbai Indians,South Africa
SN Khan,Delhi Capitals,India
JM Bairstow,Punjab Kings,England
B Sai Sudharsan,Gujarat Titans,India
Ramandeep Singh,Mumbai Indians,India
JD Unadkat,Mumbai Indians,India
Rasikh Salam,Kolkata Knight Riders,India
HE van der Dussen,Rajasthan Royals,South Africa
K Gowtham,Lucknow Super Giants,India
MP Stoinis,Lucknow Super Giants,Australia
Avesh Khan,Lucknow Super Giants,India
SS Prabhudessai,Royal Challengers Bangalore,India
Akash Deep,Royal Challengers Bangalore,India
JR Hazlewood,Royal Challengers Bangalore,Australia
TS Mills,Mumbai Indians,England
JDS Neesham,Rajasthan Royals,New Zealand
M Prasidh Krishna,Rajasthan Royals,India
YS Chahal,Rajasthan Royals,India
KR Sen,Rajasthan Royals,India
AJ Finch,Kolkata Knight Riders,Australia
Aman Hakim Khan,Kolkata Knight Riders,India
FA Allen,Mumbai Indians,West Indies
MR Marsh,Delhi Capitals,Australia
WP Saha,Gujarat Titans,India
AS Joseph,Gujarat Titans,West Indies
Ravi Bishnoi,Lucknow Super Giants,India
HR Shokeen,Mumbai Indians,India
LH Ferguson,Gujarat Titans,New Zealand
Yash Dayal,Gujarat Titans,India
DJ Mitchell,Rajasthan Royals,New Zealand
Shashank Singh,Sunrisers Hyderabad,India
M Jansen,Sunrisers Hyderabad,South Africa
B Indrajith,Kolkata Knight Riders,India
Harshit Rana,Kolkata Knight Riders,India
Mohsin Khan,Lucknow Super Giants,India
MK Lomror,Royal Challengers Bangalore,India
PJ Sangwan,Gujarat Titans,India
Simarjeet Singh,Chennai Super Kings,India
M Theekshana,Chennai Super Kings,Sri Lanka
SA Abbott,Sunrisers Hyderabad,Australia
S Gopal,Sunrisers Hyderabad,India
Kartik Tyagi,Sunrisers Hyderabad,India
AS Roy,Kolkata Knight Riders,India
Fazalhaq Farooqi,Sunrisers Hyderabad,India
KS Bharat,Delhi Capitals,India
K Kartikeya,Mumbai Indians,India
RP Meredith,Mumbai Indians,Australia
KS Sharma,Lucknow Super Giants,India
T Stubbs,Mumbai Indians,South Africa
R Sanjay Yadav,Mumbai Indians,India
A Tomar,Kolkata Knight Riders,India
PN Mankad,Punjab Kings,India
M Vohra,Lucknow Super Giants,India
OC McCoy,Rajasthan Royals,West Indies
BA Stokes,Chennai Super Kings,England
Sikandar Raza,Punjab Kings,Zimbabwe
Rahmanullah Gurbaz,Kolkata Knight Riders,India
SN Thakur,Kolkata Knight Riders,India
KR Mayers,Lucknow Super Giants,West Indies
N Pooran,Lucknow Super Giants,West Indies
RR Rossouw,Delhi Capitals,South Africa
Aman Hakim Khan,Delhi Capitals,India
C Sakariya,Delhi Capitals,India
Mukesh Kumar,Delhi Capitals,India
HC Brook,Sunrisers Hyderabad,England
MA Agarwal,Sunrisers Hyderabad,India
GD Phillips,Sunrisers Hyderabad,New Zealand
AU Rashid,Sunrisers Hyderabad,England
C Green,Mumbai Indians,Australia
N Wadhera,Mumbai Indians,India
Arshad Khan,Mumbai Indians,Pakistan
MA Wood,Lucknow Super Giants,England
Abishek Porel,Delhi Capitals,India
Dhruv Jurel,Rajasthan Royals,India
JO Holder,Rajasthan Royals,West Indies
MG Bracewell,Royal Challengers Bangalore,New Zealand
Anmolpreet Singh,Sunrisers Hyderabad,India
R Shepherd,Lucknow Super Giants,West Indies
MK Pandey,Delhi Capitals,India
AM Rahane,Chennai Super Kings,India
N Jagadeesan,Kolkata Knight Riders,India
MW Short,Punjab Kings,Australia
Mohit Rathee,Punjab Kings,India
JD Unadkat,Lucknow Super Giants,India
YV Dhull,Delhi Capitals,India
A Zampa,Rajasthan Royals,Australia
H Klaasen,Sunrisers Hyderabad,South Africa
Yudhvir Singh,Lucknow Super Giants,India
Atharva Taide,Punjab Kings,India
Harpreet Singh,Punjab Kings,India
WD Parnell,Royal Challengers Bangalore,South Africa
M Markande,Sunrisers Hyderabad,India
JJ Roy,Kolkata Knight Riders,England
Liton Das,Kolkata Knight Riders,Bangladesh
PD Salt,Delhi Capitals,England
JC Archer,Mumbai Indians,England
Vijaykumar Vyshak,Royal Challengers Bangalore,India
Abdul Basith,Rajasthan Royals,India
D Wiese,Kolkata Knight Riders,South Africa
D Wiese,Kolkata Knight Riders,Namibia
Arjun Tendulkar,Mumbai Indians,India
JP Behrendorff,Mumbai Indians,Australia
AJ Hosein,Sunrisers Hyderabad,West Indies
PK Garg,Delhi Capitals,India
A Mishra,Lucknow Super Giants,India
Naveen-ul-Haq,Lucknow Super Giants,India
VG Arora,Kolkata Knight Riders,India
Sandeep Sharma,Rajasthan Royals,India
Swapnil Singh,Lucknow Super Giants,India
TU Deshpande,Chennai Super Kings,India
Vishnu Vinod,Mumbai Indians,India
Noor Ahmad,Gujarat Titans,India
PN Mankad,Lucknow Super Giants,India
JE Root,Rajasthan Royals,England
KM Asif,Rajasthan Royals,India
MD Shanaka,Gujarat Titans,Sri Lanka
Mohammed Shami,Gujarat Titans,India
MM Sharma,Gujarat Titans,India
Sanvir Singh,Sunrisers Hyderabad,India
Vivrant Sharma,Sunrisers Hyderabad,India
DG Nalkande,Gujarat Titans,India
CJ Jordan,Mumbai Indians,England
C Green,Royal Challengers Bangalore,Australia
R Ravindra,Chennai Super Kings,New Zealand
DJ Mitchell,Chennai Super Kings,New Zealand
SD Hope,Delhi Capitals,West Indies
RK Bhui,Delhi Capitals,India
T Stubbs,Delhi Capitals,South Africa
Sumit Kumar,Delhi Capitals,India
Shashank Singh,Punjab Kings,India
PD Salt,Kolkata Knight Riders,England
Ramandeep Singh,Kolkata Knight Riders,India
MA Starc,Kolkata Knight Riders,Australia
Shahbaz Ahmed,Sunrisers Hyderabad,India
PJ Cummins,Sunrisers Hyderabad,Australia
D Padikkal,Lucknow Super Giants,India
Azmatullah Omarzai,Gujarat Titans,India
Naman Dhir,Mumbai Indians,India
G Coetzee,Mumbai Indians,South Africa
SZ Mulani,Mumbai Indians,India
Sameer Rizvi,Chennai Super Kings,India
UT Yadav,Gujarat Titans,India
SH Johnson,Gujarat Titans,Australia
TM Head,Sunrisers Hyderabad,Australia
R Shepherd,Mumbai Indians,West Indies
Akash Madhwal,Mumbai Indians,India
SB Dubey,Rajasthan Royals,India
Mayank Dagar,Royal Challengers Bangalore,India
RJW Topley,Royal Challengers Bangalore,England
A Raghuvanshi,Kolkata Knight Riders,India
Rasikh Salam,Delhi Capitals,India
KS Williamson,Gujarat Titans,New Zealand
Ashutosh Sharma,Punjab Kings,India
Nithish Kumar Reddy,Sunrisers Hyderabad,India
Saurav Chauhan,Royal Challengers Bangalore,India
Kumar Kushagra,Delhi Capitals,India
JA Richardson,Delhi Capitals,Australia
BR Sharath,Gujarat Titans,India
JD Unadkat,Sunrisers Hyderabad,India
M Shahrukh Khan,Gujarat Titans,India
WG Jacks,Royal Challengers Bangalore,England
Arshad Khan,Lucknow Super Giants,Pakistan
J Fraser-McGurk,Delhi Capitals,Australia
Tanush Kotian,Rajasthan Royals,India
R Powell,Rajasthan Royals,West Indies
KA Maharaj,Rajasthan Royals,South Africa
Arshad Khan (2),Lucknow Super Giants,India
Mohammad Nabi,Mumbai Indians,India
RR Rossouw,Punjab Kings,South Africa
HV Patel,Punjab Kings,India
LH Ferguson,Royal Challengers Bangalore,New Zealand
R Sai Kishore,Gujarat Titans,India
Swapnil Singh,Royal Challengers Bangalore,India
L Wood,Mumbai Indians,England
LB Williams,Delhi Capitals,South Africa
AA Kulkarni,Lucknow Super Giants,India
AJ Turner,Lucknow Super Giants,Australia
MJ Suthar,Gujarat Titans,India
RJ Gleeson,Chennai Super Kings,England
Gulbadin Naib,Delhi Capitals,India
D Ferreira,Rajasthan Royals,South Africa
Avesh Khan,Rajasthan Royals,India
A Kamboj,Mumbai Indians,India
T Kohler-Cadmore,Rajasthan Royals,India
Shivam Singh,Punjab Kings,India
V Viyaskanth,Sunrisers Hyderabad,Sri Lanka
Q de Kock,Kolkata Knight Riders,South Africa
SH Johnson,Kolkata Knight Riders,Australia
PD Salt,Royal Challengers Bangalore,England
LS Livingstone,Royal Challengers Bangalore,England
Ishan Kishan,Sunrisers Hyderabad,India
Aniket Verma,Sunrisers Hyderabad,India
A Manohar,Sunrisers Hyderabad,India
N Rana,Rajasthan Royals,India
WG Jacks,Mumbai Indians,England
RD Rickelton,Mumbai Indians,South Africa
R Minz,Mumbai Indians,India
MJ Santner,Mumbai Indians,New Zealand
DL Chahar,Mumbai Indians,India
PVSN Raju,Mumbai Indians,India
RA Tripathi,Chennai Super Kings,India
DJ Hooda,Chennai Super Kings,India
AK Markram,Lucknow Super Giants,South Africa
MR Marsh,Lucknow Super Giants,Australia
RR Pant,Lucknow Super Giants,India
DA Miller,Lucknow Super Giants,South Africa
SN Thakur,Lucknow Super Giants,India
Shahbaz Ahmed,Lucknow Super Giants,India
F du Plessis,Delhi Capitals,South Africa
Sameer Rizvi,Delhi Capitals,India
Ashutosh Sharma,Delhi Capitals,India
V Nigam,Delhi Capitals,India
MA Starc,Delhi Capitals,Australia
MM Sharma,Delhi Capitals,India
Priyansh Arya,Punjab Kings,India
SS Iyer,Punjab Kings,India
Azmatullah Omarzai,Punjab Kings,India
JC Buttler,Gujarat Titans,England
SE Rutherford,Gujarat Titans,West Indies
Arshad Khan,Gujarat Titans,Pakistan
PWH de Silva,Rajasthan Royals,Sri Lanka
M Theekshana,Rajasthan Royals,Sri Lanka
TU Deshpande,Rajasthan Royals,India
MM Ali,Kolkata Knight Riders,England
HV Patel,Sunrisers Hyderabad,India
Mohammed Shami,Sunrisers Hyderabad,India
Simarjeet Singh,Sunrisers Hyderabad,India
Abdul Samad,Lucknow Super Giants,Pakistan
JM Sharma,Royal Challengers Bangalore,India
KH Pandya,Royal Challengers Bangalore,India
B Kumar,Royal Challengers Bangalore,India
Noor Ahmad,Chennai Super Kings,India
K Rabada,Gujarat Titans,South Africa
PWA Mulder,Sunrisers Hyderabad,South Africa
KL Rahul,Delhi Capitals,India
K Kartikeya,Rajasthan Royals,India
V Shankar,Chennai Super Kings,India
J Overton,Chennai Super Kings,England
N Wadhera,Punjab Kings,India
PHKD Mendis,Sunrisers Hyderabad,Sri Lanka
Akash Deep,Lucknow Super Giants,India
Suryansh Shedge,Punjab Kings,India
M Jansen,Punjab Kings,South Africa
LH Ferguson,Punjab Kings,New Zealand
Washington Sundar,Gujarat Titans,India
A Kamboj,Chennai Super Kings,India
SK Rasheed,Chennai Super Kings,India
JP Inglis,Punjab Kings,Australia
XC Bartlett,Punjab Kings,Australia
MS Bhandage,Royal Challengers Bangalore,India
Yash Dayal,Royal Challengers Bangalore,India
D Ferreira,Delhi Capitals,South Africa
